,Elevation,Inflow,Outflow,AvgRainFall,Summary
0,185.79,183.88888888888889,183.88888888888889,0.0,
1,185.79,130.55555555555554,130.55555555555554,0.0,
2,185.79,126.94444444444444,126.94444444444444,0.0,
3,185.8,196.63553611171665,119.44444444444446,0.0,
4,185.81,167.49401944384266,90.27777777777777,0.0,
5,185.82,168.90805833354534,91.66666666666667,0.0,
6,185.82,143.88888888888889,143.88888888888889,0.0,
7,185.82,155.83,155.83,0.0,
8,185.82,150.56,150.56,0.0,
9,185.83,198.65654166718718,121.39,0.0,
10,185.83,156.67,156.67,0.0,
11,185.83,213.33,213.33,0.0,
12,185.82,116.34345833281283,193.61,0.0,
13,185.82,126.11,126.11,0.0,
14,185.82,183.33,183.33,0.0,
15,185.82,195.56,195.56,0.0,
16,185.81,146.9286083331213,224.17,0.0,
17,185.81,224.44,224.44,0.0,
18,185.81,124.72,124.72,0.0,
19,185.8,48.89375833393511,126.11,0.0,
20,185.79,45.8689083327278,123.06,0.0,
21,185.79,136.39,136.39,0.0,
22,185.79,117.5,117.5,0.0,
23,185.79,115.28,115.28,0.2,
24,185.8,180.2510916672722,103.06,0.0,
25,185.81,181.6562416660649,104.44,0.0,
26,185.82,177.24139166687866,100.0,0.0,
27,185.83,213.09654166718718,135.82999999999998,0.0,
28,185.84,201.18169166699042,123.89,0.0,
29,185.85,195.64684166628837,118.33,0.0,
30,185.85,115.28,115.28,0.0,
31,185.85,116.67,116.67,0.0,
32,185.84,69.90315833371162,147.22,0.0,
33,185.85,210.37684166628839,133.06,0.0,
34,185.86,182.34199166609162,105.0,0.0,
35,185.86,149.44,149.44,0.0,
36,185.87,180.4271416669054,103.06,0.0,
37,185.87,130.0,130.0,0.0,
38,185.85,47.51308888922517,202.2222222222222,0.0,
39,185.85,113.6111111111111,113.6111111111111,0.0,
40,185.86,208.45310277720273,131.11111111111111,0.0,
41,185.86,165.27777777777777,165.27777777777777,0.0,
42,185.86,166.11111111111111,166.11111111111111,0.0,
43,185.86,130.0,130.0,0.0,
44,185.86,131.38888888888889,131.38888888888889,0.0,
45,185.87,201.53380833357207,124.16666666666667,0.0,
46,185.87,93.61111111111111,93.61111111111111,0.0,
47,185.88,185.44784722226422,108.05555555555556,0.0,
48,185.88,144.72222222222223,144.72222222222223,0.0,
49,185.88,73.05555555555556,73.05555555555556,0.0,
50,185.88,121.11111111111111,121.11111111111111,0.0,
51,185.89,157.69521944428965,80.27777777777777,0.0,
52,185.89,138.05555555555554,138.05555555555554,0.0,
53,185.89,123.61111111111111,123.61111111111111,0.0,
54,185.89,100.27777777777777,100.27777777777777,0.0,
55,185.89,135.83333333333331,135.83333333333331,0.0,
56,185.89,147.22222222222223,147.22222222222223,0.0,
57,185.89,143.05555555555554,143.05555555555554,0.0,
58,185.89,155.83333333333334,155.83333333333334,0.0,
59,185.89,104.16666666666667,104.16666666666667,0.0,
60,185.88,77.02700277793255,154.44444444444443,0.0,
61,185.88,145.0,145.0,0.0,
62,185.88,144.72222222222223,144.72222222222223,0.0,
63,185.88,167.22222222222223,167.22222222222223,0.0,
64,185.87,71.49659722218021,148.88888888888886,0.0,
65,185.87,142.22222222222223,142.22222222222223,0.0,
66,185.86,82.35508055531683,159.72222222222223,0.0,
67,185.86,102.77777777777777,102.77777777777777,0.0,
68,185.86,124.72222222222224,124.72222222222224,0.0,
69,185.87,216.25603055579433,138.8888888888889,0.0,
70,185.87,116.11111111111111,116.11111111111111,0.0,
71,185.87,115.83333333333333,115.83333333333333,,
72,185.87,117.77777777777777,117.77777777777777,0.0,
73,185.87,110.83333333333333,110.83333333333333,0.0,
74,185.87,99.44444444444444,99.44444444444444,0.0,
75,185.87,139.44444444444446,139.44444444444446,0.0,
76,185.87,142.77777777777777,142.77777777777777,0.0,
77,185.87,131.94444444444446,131.94444444444446,0.0,
78,185.87,106.94444444444444,106.94444444444444,0.0,
79,185.87,97.5,97.5,0.0,
80,185.87,129.72222222222223,129.72222222222223,0.0,
81,185.87,123.61111111111111,123.61111111111111,0.0,
82,185.86,71.79952499976129,149.16666666666669,0.0,
83,185.86,141.94444444444446,141.94444444444446,0.0,
84,185.86,138.61111111111114,138.61111111111114,0.0,
85,185.85,55.9913416672417,133.33333333333331,0.0,
86,185.85,132.77777777777777,132.77777777777777,0.0,
87,185.85,168.33333333333334,168.33333333333334,0.0,
88,185.84,88.23871388926716,165.55555555555554,0.0,
89,185.84,141.38888888888886,141.38888888888886,0.0,
90,185.84,203.33333333333334,203.33333333333334,0.0,
91,185.83,69.65275277745401,146.94444444444443,0.0,
92,185.82,91.90012499947947,169.16666666666666,0.0,
93,185.81,104.70305277756579,181.94444444444446,0.0,
94,185.81,124.44444444444444,124.44444444444444,0.0,
95,185.81,79.72222222222223,79.72222222222223,0.0,
96,185.81,102.22222222222223,102.22222222222223,0.0,
97,185.82,168.074725000212,90.83333333333333,0.0,
98,185.82,113.33333333333333,113.33333333333333,0.0,
99,185.82,92.5,92.5,0.0,
100,185.82,120.55555555555556,120.55555555555556,0.0,
101,185.83,214.21098611163166,136.94444444444446,0.0,
102,185.82,37.17790277725726,114.44444444444444,0.0,
103,185.82,109.16666666666667,109.16666666666667,0.0,
104,185.81,57.20305277756579,134.44444444444446,0.0,
105,185.81,180.55555555555554,180.55555555555554,0.0,
106,185.78,118.70672500121503,350.28,0.0,
